2018-06-28 14:31:50 [main] INFO  f.d.e.view.Application - Starting Application on Supervoimakone with PID 16224 (C:\Users\samik\git\EquipmentManager\target\classes started by S in C:\Users\samik\git\EquipmentManager)
2018-06-28 14:31:50 [main] DEBUG f.d.e.view.Application - Running with Spring Boot v1.5.1.RELEASE, Spring v4.3.6.RELEASE
2018-06-28 14:31:50 [main] INFO  f.d.e.view.Application - No active profile set, falling back to default profiles: default
2018-06-28 14:31:54 [main] INFO  f.d.e.view.Application - Started Application in 3.673 seconds (JVM running for 4.058)
2018-06-28 14:32:18 [http-nio-8080-exec-3] INFO  f.d.equipmentmanager.db.DatabaseUtil - Setting DB connection properties...
2018-06-28 14:32:18 [http-nio-8080-exec-3] INFO  f.d.equipmentmanager.db.DatabaseUtil - DB connection properties set!
2018-06-28 14:32:18 [http-nio-8080-exec-3] INFO  f.d.equipmentmanager.db.DatabaseUtil - Connecting to database...
2018-06-28 14:32:18 [http-nio-8080-exec-3] WARN  org.hibernate.orm.connections - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-06-28 14:32:18 [http-nio-8080-exec-3] WARN  o.h.e.j.d.i.StandardDialectResolver - HHH000385: Unknown Microsoft SQL Server major version [14] using SQL Server 2000 dialect
2018-06-28 14:32:19 [http-nio-8080-exec-3] INFO  f.d.equipmentmanager.db.DatabaseUtil - Connection complete!
2018-06-28 14:32:27 [http-nio-8080-exec-5] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - ********************************* Trying to write file...
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - ********************************* File write complete!
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading function start
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:27 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
