162  [main] INFO  f.d.e.db.DatabaseUtil - Setting DB connection properties...
164  [main] INFO  f.d.e.db.DatabaseUtil - DB connection properties set!
164  [main] INFO  f.d.e.db.DatabaseUtil - Connecting to database...
1162 [main] INFO  f.d.e.db.DatabaseUtil - Connection complete!
2225 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
2228 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3252 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3254 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3256 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3257 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3258 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3567 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3569 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3573 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3574 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3579 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3582 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3585 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3586 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3590 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3592 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3593 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3595 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3597 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3600 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3603 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3606 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3613 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 enabled.
3617 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3619 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3625 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3627 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3633 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3634 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3640 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType2/2222 updated.
3643 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3645 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3647 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3652 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3654 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3655 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3664 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment's serial to existing equipment's serial.
3675 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3680 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3697 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3704 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 deleted.
3714 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 deleted.
3724 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3733 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment2/TestSerial2 updated.
3745 [main] ERROR f.d.e.controller.ChartController - Attempted to delete equipment type with equipment attached to it.
3752 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment type's typeCode to existing equipment type's typeCode.
3760 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 disabled.
161  [main] INFO  f.d.e.db.DatabaseUtil - Setting DB connection properties...
164  [main] INFO  f.d.e.db.DatabaseUtil - DB connection properties set!
164  [main] INFO  f.d.e.db.DatabaseUtil - Connecting to database...
1139 [main] INFO  f.d.e.db.DatabaseUtil - Connection complete!
2182 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
2185 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3250 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3252 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3253 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3255 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3255 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3581 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3583 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3586 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3588 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3592 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3594 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
